
8.802+49.037i 13.489+53.078i 21.148+45.044i 4.306+50.599i 4.197+39.727i 
-11.681+31.221i -0.969+62.458i -3.561+59.02i -16.127+37.997i 0.242+57.158i 

3.877+28.943i -1.346+31.087i -4.044+27.623i -1.158+26.605i -4.409+31.673i 
4.7+41.401i 8.634+42.894i -2.113+36.939i 1.453+34.702i -0.377+36.415i 
2.529+42.618i 2.347+49.128i -3.59+43.204i -2.033+38.252i -9.261+43.111i 
8.374+31.799i 1.948+26.556i 2.551+24.728i 10.131+21.47i -1.3+27.51i 
7.917+29.161i -0.449+33.86i -6.513+28.728i -7.392+30.971i 0.619+35.678i 

7.423+33.471i 9.845+30.411i 9.168+24.693i 4.399+32.954i 17.396+28.133i 
0.184+39.623i -7.482+40.376i 0.682+36.591i -2.705+43.058i 12.097+38.245i 
-6.511+43.898i -6.921+40.491i -2.691+32.607i -7.53+36.826i -0.243+34.995i 
1.485+34.256i 1.131+34.314i 0.699+29.702i 0.778+34.742i 8.033+29.048i 
1.54+54.62i -2.176+52.197i 2.008+41.665i 2.151+49.916i 4.3+38.905i 

8.835+37.965i -3.679+46.742i 4.629+45.751i -14.686+49.755i -3.414+32.551i 
8.904+25.811i 3.497+29.988i 13.176+27.424i -2.004+33.746i 1.626+19.867i 
16.841+17.38i 7.415+41.399i 9.861+32.349i -2.915+35.703i 2.69+26.623i 
7.596+25.113i 3.775+36.359i 10.161+36.47i -0.692+36.767i 6.554+23.759i 
8.631+27.878i -4.263+43.162i -0.294+39.944i -16.073+38.77i -3.719+30.182i 

2.669+38.138i -2.293+44.067i -0.822+27.075i -2.405+31.237i 0.418+30.693i 
-8.172+40.535i -15.455+43.083i -4.385+28.956i -5.971+35.477i -6.049+30.592i 
1.116+32.45i 6.704+33.272i 14.749+28.322i 8.186+36.979i 0.846+25.704i 
12.595+41.432i 12.781+43.545i 15.105+30.741i 11.267+40.11i 16.37+36.209i 
-8.116+48.822i -6.959+60.851i 2.277+49.193i -5.243+50.684i -8.226+56.605i 

-0.906+45.357i 2.274+27.468i -9.248+45.134i -6.613+33.131i 2.186+55.264i 
-16.185+26.904i -5.584+20.327i -19.383+32.828i -9.035+19.504i -12.286+37.332i 
-9.392+23.875i -7.23+19.023i -18.617+27.663i -9.372+22.124i -8.104+35.811i 
-10.724+29.658i -4.925+18.047i -16.873+31.881i -8.283+21.301i -3.783+40.429i 
-13.608+33.352i -5.738+22.055i -17.324+33.425i -13.171+27.645i -6.429+48.128i 

-2.844+27.013i -0.744+39.404i 0.328+44.578i -9.653+28.394i -0.335+41.414i 
1.637+33.636i -1.966+39.088i 3.712+38.401i -5.328+45.613i 1.267+36.465i 
6.567+25.01i 6.269+36.292i 8.813+36.45i 5.162+33.662i 6.881+36.262i 
-4.139+32.3i -3.524+40.645i -0.65+42.284i -6.949+31.515i 6.241+41.343i 
0.29+28.477i -7.261+40.446i -3.398+39.457i -9.802+38.11i -6.012+30.792i 

-6.049+38.641i -10.15+24.773i -1.668+27.81i -9.808+40.821i -10.709+36.274i 
-11.566+43.725i -9.909+29.7i -11.857+36.865i -8.988+46.319i -11.492+43.819i 
3.859+40.033i -3.309+22.022i 5.178+32.043i 5.775+37.706i 6.079+40.474i 
-5.582+36.61i -4.819+22.785i -4.482+34.169i -5.993+37.452i -10.986+39.059i 
11.487+37.159i 1.475+22.957i 10.76+35.386i 9.079+37.615i 4.923+40.95i 

3.257+28.624i -0.274+18.705i 8.65+36.309i 3.219+31.402i 3.39+26.226i 
-1.725+21.11i -2.332+28.181i -5.598+31.107i -7.325+33.892i 1.149+22.131i 
7.479+28.706i 4.704+24.649i 5.129+49.188i 5.523+39.146i 14.361+33.507i 
-4.082+29.615i 4.295+23.776i 1.355+33.806i -3.122+28.596i 8.2+23.726i 
2.812+33.104i 5.512+31.388i 14.717+49.919i 9.165+41.39i 11.634+36.259i 

10.118+30.522i 11.093+39.79i 12.546+42.959i 5.892+27.248i 0.065+38.718i 
6.168+32.621i 5.499+38.802i 6.121+38.573i 9.078+23.5i -0.514+32.687i 
9.657+22.798i 6.976+29.705i 13.329+35.659i 5.839+23.866i 4.855+36.914i 
5.842+35.362i 3.024+44.478i 4.409+50.511i 6.141+30.412i -2.286+41.214i 
11.062+28.521i 8.51+41.668i 6.255+43.511i 7.209+24.407i 0.292+33.835i 

9.386+23.224i -3.494+35.996i 10.324+39.154i -8.416+42.483i 8.962+40.888i 
9.012+16.374i -6.069+24.98i 5.623+38.465i -7.389+27.697i 7.04+31.962i 
6.724+23.978i -3.587+33.864i 6.142+41.633i -8.596+36.905i 8.176+42.49i 
13.771+31.515i 7.928+49.183i 14.671+53.203i -1.739+49.378i 14.461+55.978i 
3.968+34.782i -10.465+44.947i -5.745+54.727i -16.61+50.427i -5.031+52.063i 

-0.507+32.62i -0.254+22.504i 3.837+28.51i -2.533+31.8i -3.086+32.488i 
6.113+45.026i 1.968+25.306i 0.963+35.293i 1.72+38.177i 0.981+41.07i 
16.429+38.155i 8.27+20.875i 15.44+34.205i 15.549+42.955i 20.874+36.745i 
-14.798+40.804i -10.565+27.425i -13.169+35.486i -18.146+34.668i -18.708+40.44i 
2.882+34.818i 3.969+29.173i 7.318+39.17i -2.646+40.446i -1.68+42.829i 

6.842+39.442i 1.822+31.648i 2.289+31.911i -4.014+32.854i -0.51+35.424i 
-1.895+28.393i -8.051+29.874i -2.239+27.339i -11.032+33.983i -7.669+25.624i 
-8.053+49.092i -8.221+52.926i -8.927+35.007i -13.658+45.974i -9.551+41.542i 
7.388+39.443i 3.172+42i 12.797+21.275i -0.855+38.766i 0.751+29.303i 
-9.416+34.535i -4.039+29.3i -5.343+20.683i -9.402+20.898i -5.016+23.367i 

6.45+36.81i -10.862+31.71i 3.834+20.207i 15.493+37.893i 4.749+31.077i 
-10.962+29.133i -9.627+29.481i 1.01+23.102i 4.886+34.114i -1.407+26.765i 
2.422+32.631i -0.249+36.211i 6.329+19.412i 13.62+29.807i 8.777+28.914i 
-5.46+46.164i -8.939+50.235i 3.811+33.95i 17.038+48.357i 4.277+44.797i 
1.521+51.206i -7.529+53.537i 4.928+30.302i 18.816+46.757i 4.417+45.242i 

4.24+30.152i 4.862+25.724i -2.042+23.424i 8.578+29.34i 0.301+28.786i 
0.65+35.877i 4.54+39.605i 0.963+27.203i 9.233+44.719i -8.843+38.236i 
-5.104+46.516i 2.803+42.099i -4.639+33.539i 11.486+52.491i -9.297+52.296i 
-7.964+36.179i 2.811+43.421i -6.099+29.843i 12.969+43.22i -6.051+46.132i 
2.71+30.702i 9.025+25.783i 2.166+21.154i 12.985+27.809i -0.054+26.774i 

11.397+36.242i 20.021+31.304i 9.056+28.212i 14.674+23.215i 4.632+37.552i 
8.572+38.237i 19.98+38.341i 5.305+32.188i 13.73+28.284i -0.941+40.619i 
-2.79+43.306i 9.532+50.829i -4.42+38.04i 6.579+33.121i -9.335+46.587i 
10.191+32.74i 19.299+31.48i 6.432+28.117i 11.437+28.5i -0.249+35.105i 
2.782+42.597i 18.984+36.744i 6.059+33.23i 11.709+30.508i -4.966+37.281i 

-28.379+40.52i -11.351+35.72i -7.836+39.602i -12.766+35.248i -0.387+44.448i 
-7.84+40.478i -0.189+27.475i 3.639+37.41i -0.064+41.924i 4.826+40.278i 
-16.447+28.244i 0.966+23.539i 1.22+31.642i -0.962+32.26i 6.74+31.671i 
-5.514+47.411i 6.054+34.318i 9.288+39.838i 1.504+43.906i 11.315+39.518i 
-10.355+36.479i 2.017+24.084i 0.423+34.588i 0.922+29.02i 9.704+32.135i 

-9.13+33.226i 7.34+29.673i 2.274+33.447i 1.492+27.496i -5.661+33.755i 
-5.512+33.974i 7.399+34.13i 0.281+31.725i -0.08+31.366i -4.269+30.785i 
-11.365+38.507i 8.49+33.903i 1.449+38.413i 2+32.32i -4.318+32.861i 
-1.719+30.198i 9.115+22.929i 2.898+22.451i -3.556+20.112i 1.161+25.319i 
-6.199+37.823i 7.797+28.63i 5.088+35.283i 1.899+30.199i 0.989+33.537i 

-2.875+37.258i -5.797+37.139i 9.409+43.132i -7.246+32.994i -1.37+38.24i 
2.465+35.858i -5.235+31.022i 20.218+38.585i -0.654+32.47i 4.239+32.355i 
-8.274+34.069i -5.84+30.094i 0.597+49.756i -13.017+39.258i 0.439+35.671i 
-7.753+47.193i -6.167+34.642i 0.094+51.086i -15.964+39.394i -3.674+41.93i 
5.348+33.541i 3.827+31.28i 7.496+36.955i -2.233+30.926i 7.747+31.017i 

-0.25+54.028i -6.463+38.249i 1.833+44.256i -12.064+44.421i -9.568+45.925i 
-0.05+53.149i 2.866+34.425i 5.597+39.98i -5.923+39.311i -2.804+46.683i 
-4.065+29.208i -6.353+15.166i -2.62+20.037i -12.435+22.098i -8.704+21.043i 
3.535+34.412i -0.4+22.866i 1.148+28.75i -8.457+27.122i -9.439+29.008i 
6.742+45.218i 6.762+35.533i 10.594+32.927i 3.927+34.925i 4.624+37.16i 

-9.799+34.58i -5.777+45.066i -2.673+39.254i -1.226+32.75i 0.924+38.42i 
-12.693+43.283i -8.43+53.697i -3.646+49.676i -2.758+43.994i 4.43+52.291i 
-12.397+36.453i -9.579+46.334i -5.423+42.837i -3.061+36.8i 1.095+45.014i 
-14.47+39.402i -7.021+62.971i -10.808+49.242i -1.804+49.159i 1.711+49.863i 
-2.248+28.137i -2.717+34.292i 5.946+30.784i 6.646+27.309i 9.523+33.807i 

6.484+48.452i 9.953+45.737i 0.299+39.454i 1.089+42.841i 7.22+46.676i 
0.918+48.476i -0.713+39.778i -4.634+32.285i 3.189+36.842i 0.131+49.801i 
7.556+47.241i 10.261+33.682i 7.162+30.082i 1.342+39.15i 7.728+45.293i 
9.958+32.626i 14.283+30.555i 9.61+28.316i 7.018+31.648i 10.888+28.037i 
2.033+40.063i -0.557+35.307i -6.926+38.768i 4.8+33.248i -4.395+37.286i 

4.643+28.474i -3.523+23.553i 3.425+25.956i -1.931+29.298i 4.483+33.035i 
3.162+40.349i 1.138+32.671i 6.507+30.956i -1.231+33.49i 3.631+28.991i 
13.032+36.631i 4.557+29.159i 8.059+30.298i 5.011+32.203i 6.081+34.466i 
4.239+40.534i -1.387+34.102i -1.908+33.742i -3.546+37.102i -2.073+34.233i 
8.623+38.904i 4.706+32.599i 2.34+31.544i -2.69+38.576i 2.388+37.048i 

-7.73+39.848i -3.26+24.259i -1.577+24.67i -1.854+31.681i -2.991+26.892i 
-8.121+42.966i -8.479+31.924i -10.866+30.898i 7.78+38.717i 0.765+34.967i 
-10.543+33.863i -6.36+26.695i -9.37+28.249i 3.451+36.548i 4.841+25.525i 
-6.286+39.956i -7.55+28.286i -4.877+29.583i 6.635+35.474i -0.366+31.246i 
-6.56+35.034i -12.368+28.869i -10.136+23.095i -0.619+28.362i -0.853+36.218i 

3.428+54.31i 1.609+36.091i -5.184+41.769i -3.926+50.29i -6.423+57.792i 
9.344+25.146i 2.728+16.492i 3.169+23.767i 5.961+22.92i 7.995+26.963i 
10.958+37.613i 5.699+26.669i -1.988+21.561i 12.226+29.142i 8.17+44.216i 
0.1+33.857i 1.828+28.296i -5.479+17.546i -2.252+23.896i 0.156+35.82i 
5.641+29.816i 6.556+29.98i -1.357+27.666i 1.277+34.841i -2.694+43.158i 

14.641+34.291i -3.598+42.648i 18.265+41.234i 5.076+46.325i 16.919+41.992i 
9.317+25.094i -3.107+27.323i 9.618+28.762i 3.195+30.638i 11.001+32.179i 
5.644+21.293i -12.404+23.379i 2.297+24.634i -5.539+23.302i 2.446+25.814i 
23.152+31.02i 1.744+36.075i 20.282+34.405i 10.339+39.808i 21.009+36.238i 
2.979+25.791i -17.85+24.052i 2.101+28.201i -10.926+30.667i -6.407+33.998i 

3.518+37.628i 1.272+36.22i 14.773+33.697i 8.135+23.441i 1.458+34.054i 
2.739+35.981i 1.436+36.808i 8.785+36.196i 11.364+29.518i 10.533+33.182i 
-16.575+32.668i -10.711+41.643i -4.106+38.571i 0.203+29.162i -3.874+40.57i 
-8.656+46.732i -5.199+50.749i 5.349+45.681i 1.408+33.093i -3.283+41.946i 
-3.779+34.711i -2.37+41.628i 2.699+41.193i 4.487+31.605i 0.5+42.293i 

10.376+40.673i -5.573+37.905i -1.658+32.16i -7.472+35.98i -7.359+40.265i 
14.472+36.795i -1.255+42.065i -2.056+25.524i -5.694+42.2i -7.875+33.398i 
13.521+27.33i 1.401+35.005i 3.625+21.885i -2.265+38.817i -3.087+33.353i 
15.495+53.224i -7.993+44.979i -4.176+45.065i -3.259+53.286i -9.179+55.033i 
23.241+51.797i -6.33+56.308i 2.728+42.803i -1.703+58.676i -6.298+53.522i 

3.103+28.805i -1.056+32.864i 0.801+36.243i -1.111+46.85i 11.066+29.577i 
-2.182+29.201i -12.98+33.453i -0.437+34.82i -13.28+43.665i 6.408+29.533i 
3.269+32.204i -6.375+27.12i 4.448+36.46i -4.806+39.02i 8.917+28.108i 
4.014+31.218i -10.781+32.745i 8.87+25.454i -6.763+43.698i 7.709+24.511i 
13.021+33.713i 10.425+35.161i 8.582+30.948i 17.656+45.761i 13.044+24.503i 
